round,SR,P,Recall,F1,,,
391,0.644501279,0.770708283,0.772563177,0.771634615,,,
392,0.642857143,0.768862275,0.771634615,0.770245951,,,
393,0.641221374,0.767942584,0.770708283,0.769322948,,,
394,0.639593909,0.768408551,0.771156138,0.769779893,,,
395,0.640506329,0.768683274,0.771428571,0.770053476,,,
396,0.641414141,0.768957346,0.771700357,0.770326409,,,
397,0.64231738,0.769230769,0.771971496,0.770598696,,,
398,0.640703518,0.768321513,0.771055753,0.769686205,,,
399,0.64160401,0.768595041,0.771327014,0.769958604,,,
400,0.6425,0.7524528301,0.771597633,0.75230360307147,,,
401,0.643391521,0.769140165,0.771867612,0.770501475,,,
402,0.644278607,0.769411765,0.772136954,0.770771951,,,
403,0.64516129,0.770491803,0.773207991,0.771847507,,,
404,0.646039604,0.771561772,0.774269006,0.772913018,,,
405,0.64691358,0.771827707,0.77453271,0.773177843,,,
406,0.645320197,0.770472895,0.772254335,0.771362587,,,
407,0.646191646,0.770737327,0.772517321,0.771626298,,,
408,0.647058824,0.771001151,0.7727797,0.771889401,,,
409,0.64792176,0.771264368,0.773041475,0.772151899,,,
410,0.646341463,0.770378875,0.772151899,0.771264368,,,
411,0.647201946,0.770642202,0.772413793,0.77152698,,,
412,0.648058252,0.770904926,0.772675086,0.771788991,,,
413,0.648910412,0.771167048,0.77293578,0.772050401,,,
414,0.649758454,0.771428571,0.773195876,0.772311213,,,
415,0.648192771,0.771751412,0.773499434,0.772624434,,,
416,0.646634615,0.771812081,0.773542601,0.772676372,,,
417,0.645083933,0.770949721,0.772676372,0.771812081,,,
418,0.645933014,0.771205357,0.772930649,0.772067039,,,
419,0.644391408,0.770509978,0.772222222,0.77136515,,,
420,0.645238095,0.772026432,0.773730684,0.772877619,,,
421,0.643705463,0.771929825,0.773626374,0.772777168,,,
422,0.642180095,0.771084337,0.772777168,0.771929825,,,
423,0.640661939,0.770901194,0.77257889,0.77173913,,,
424,0.639150943,0.770065076,0.77173913,0.770901194,,,
425,0.637647059,0.768398268,0.770065076,0.769230769,,,
426,0.636150235,0.767567568,0.769230769,0.768398268,,,
427,0.637002342,0.767818575,0.769480519,0.768648649,,,
428,0.637850467,0.76806904,0.76972973,0.768898488,,,
429,0.638694639,0.768318966,0.769978402,0.769147789,,,
430,0.639534884,0.768568353,0.770226537,0.769396552,,,
431,0.64037123,0.768817204,0.770474138,0.769644779,,,
432,0.641203704,0.769065521,0.770721206,0.769892473,,,
433,0.639722864,0.768240343,0.769892473,0.769065521,,,
434,0.638248848,0.768162393,0.769807281,0.768983957,,,
435,0.63908046,0.768409819,0.770053476,0.769230769,,,
436,0.637614679,0.767590618,0.769230769,0.768409819,,,
437,0.638443936,0.767838126,0.769477054,0.768656716,,,
438,0.639269406,0.768085106,0.769722814,0.768903088,,,
439,0.637813212,0.768498943,0.770127119,0.769312169,,,
440,0.638636364,0.7687434,0.77037037,0.769556025,,,
441,0.637188209,0.767613039,0.769230769,0.768421053,,,
442,0.63800905,0.767857143,0.769473684,0.768664564,,,
443,0.636568849,0.767051417,0.768664564,0.767857143,,,
444,0.637387387,0.767295597,0.768907563,0.768100735,,,
445,0.635955056,0.766492147,0.768100735,0.767295597,,,
446,0.634529148,0.767151767,0.76875,0.767950052,,,
447,0.635346756,0.767393562,0.768990635,0.768191268,,,
448,0.636160714,0.767634855,0.769230769,0.768431983,,,
449,0.636971047,0.767875648,0.769470405,0.768672199,,,
450,0.637777778,0.768115942,0.769709544,0.768911917,,,
451,0.636363636,0.767418033,0.76899384,0.768205128,,,
452,0.634955752,0.766632549,0.768205128,0.767418033,,,
453,0.633554084,0.765848671,0.767418033,0.766632549,,,
454,0.634361233,0.766087845,0.76765609,0.766871166,,,
455,0.632967033,0.766194332,0.767748479,0.766970618,,,
456,0.63377193,0.768072289,0.769617706,0.768844221,,,
457,0.634573304,0.768304915,0.769849246,0.769076305,,,
458,0.635371179,0.768537074,0.770080321,0.769307924,,,
459,0.636165577,0.768768769,0.770310933,0.769539078,,,
460,0.634782609,0.768924303,0.770459082,0.769690927,,,
461,0.635574837,0.769154229,0.770687936,0.769920319,,,
462,0.636363636,0.769383698,0.770916335,0.770149254,,,
463,0.637149028,0.769612711,0.771144279,0.770377734,,,
464,0.637931034,0.76984127,0.771371769,0.77060576,,,
465,0.63655914,0.769078295,0.77060576,0.76984127,,,
466,0.637339056,0.769990128,0.771513353,0.770750988,,,
467,0.638115632,0.770216963,0.77173913,0.770977295,,,
468,0.638888889,0.77044335,0.771964462,0.771203156,,,
469,0.637526652,0.769685039,0.771203156,0.77044335,,,
470,0.638297872,0.769911504,0.771428571,0.770669291,,,
471,0.639065817,0.770137525,0.771653543,0.770894789,,,
472,0.637711864,0.769381747,0.770894789,0.770137525,,,
473,0.638477801,0.769607843,0.771119843,0.770363101,,,
474,0.639240506,0.769833497,0.771344455,0.770588235,,,
475,0.637894737,0.769756098,0.771260997,0.770507812,,,
476,0.636554622,0.768932039,0.770428016,0.7696793,,,
477,0.637316562,0.77027027,0.771760155,0.771014493,,,
478,0.635983264,0.76945245,0.77093359,0.770192308,,,
479,0.636743215,0.769673704,0.771153846,0.770413064,,,
480,0.6375,0.769894535,0.771373679,0.770633397,,,
481,0.638253638,0.770334928,0.771812081,0.771072797,,,
482,0.639004149,0.770554493,0.772030651,0.771291866,,,
483,0.639751553,0.770992366,0.772466539,0.771728749,,,
484,0.638429752,0.771130104,0.772597526,0.771863118,,,
485,0.639175258,0.771347249,0.772813688,0.772079772,,,
486,0.637860082,0.771616541,0.77306968,0.772342427,,,
