round,SR,P,Recall,F1,,
279,0.6272401433691757,0.7458866544789763,0.7391304347826086,0.7424931756141947,,
280,0.6285714285714286,0.7463503649635036,0.7396021699819169,0.742960944595822,,
281,0.6298932384341637,0.7504488330341114,0.7437722419928826,0.7470956210902592,,
282,0.6312056737588653,0.7508960573476703,0.7442273534635879,0.7475468331846565,,
283,0.6289752650176679,0.75177304964539,0.7451669595782073,0.7484554280670785,,
284,0.6302816901408451,0.7556719022687609,0.7491349480968859,0.7523892267593398,,
285,0.631578947368421,0.7560975609756098,0.7495682210708118,0.7528187337380746,,
286,0.6293706293706294,0.7547826086956522,0.7482758620689656,0.7515151515151515,,
287,0.6306620209059234,0.755632582322357,0.7491408934707904,0.7523727351164798,,
288,0.6284722222222222,0.754325259515571,0.7478559176672385,0.7510766580534022,,
289,0.6262975778546713,0.7534246575342466,0.7470288624787776,0.7502131287297528,,
290,0.6275862068965518,0.7538461538461538,0.747457627118644,0.7506382978723405,,
291,0.6288659793814433,0.7542662116040956,0.7478849407783418,0.7510620220900595,,
292,0.6301369863013698,0.7546848381601363,0.7483108108108109,0.7514843087362172,,
293,0.6313993174061433,0.7551020408163265,0.7487352445193929,0.7519051651143098,,
294,0.6292517006802721,0.7538200339558574,0.7474747474747475,0.7506339814032122,,
295,0.6305084745762712,0.7542372881355932,0.7478991596638656,0.7510548523206751,,
296,0.6317567567567568,0.754653130287648,0.7483221476510067,0.7514743049705138,,
297,0.6296296296296297,0.7533783783783784,0.7470686767169179,0.7502102607232969,,
298,0.6308724832214765,0.7537942664418212,0.7474916387959866,0.7506297229219143,,
299,0.6287625418060201,0.7525252525252525,0.7462437395659433,0.7493713327745181,,
300,0.63,0.7529411764705882,0.7466666666666667,0.7497907949790795,,
301,0.6312292358803987,0.7533557046979866,0.7470881863560732,0.7502088554720134,,
302,0.6291390728476821,0.7520938023450586,0.7458471760797342,0.7489574645537947,,
303,0.6303630363036303,0.7525083612040134,0.746268656716418,0.7493755203996669,,
304,0.631578947368421,0.7529215358931552,0.7466887417218543,0.7497921862011637,,
