round,SR,P,Recall,F1,,
287,0.6027874564459931,0.7965517241379311,0.39965397923875434,0.5322580645161291,,
288,0.6041666666666666,0.7972508591065293,0.4006908462867012,0.5333333333333334,,
289,0.6055363321799307,0.797945205479452,0.4017241379310345,0.5344036697247706,,
290,0.603448275862069,0.7952218430034129,0.4010327022375215,0.5331807780320367,,
291,0.6048109965635738,0.7959183673469388,0.4020618556701031,0.5342465753424657,,
292,0.6027397260273972,0.7932203389830509,0.4013722126929674,0.5330296127562643,,
293,0.6040955631399317,0.793918918918919,0.4023972602739726,0.5340909090909092,,
294,0.6054421768707483,0.7946127946127947,0.40341880341880343,0.5351473922902494,,
295,0.6033898305084746,0.7919463087248322,0.40273037542662116,0.5339366515837104,,
296,0.6047297297297297,0.7926421404682275,0.403747870528109,0.5349887133182845,,
297,0.6060606060606061,0.7933333333333333,0.40476190476190477,0.536036036036036,,
298,0.6040268456375839,0.7906976744186046,0.40407470288624786,0.5348314606741572,,
299,0.6053511705685619,0.7913907284768212,0.40508474576271186,0.5358744394618834,,
300,0.6066666666666667,0.7920792079207921,0.40609137055837563,0.5369127516778522,,
301,0.6079734219269103,0.7927631578947368,0.40709459459459457,0.5379464285714285,,
302,0.6059602649006622,0.7901639344262295,0.40640809443507586,0.5367483296213809,,
303,0.6072607260726073,0.7908496732026143,0.4074074074074074,0.5377777777777778,,
304,0.6085526315789473,0.7915309446254072,0.4084033613445378,0.5388026607538803,,
305,0.6065573770491803,0.788961038961039,0.4077181208053691,0.5376106194690266,,
306,0.6078431372549019,0.7896440129449838,0.40871021775544386,0.5386313465783664,,
307,0.6058631921824105,0.7903225806451613,0.40362438220757824,0.5343511450381679,,
308,0.6038961038961039,0.7909967845659164,0.4,0.531317494600432,,
309,0.6051779935275081,0.7916666666666666,0.400974025974026,0.5323275862068965,,
310,0.603225806451613,0.7891373801916933,0.40032414910858993,0.5311827956989247,,
311,0.6012861736334405,0.7866242038216561,0.39967637540453077,0.5300429184549356,,
312,0.6025641025641025,0.7873015873015873,0.40064620355411956,0.5310492505353319,,
313,0.6006389776357828,0.7879746835443038,0.3984,0.5292242295430393,,
314,0.6019108280254777,0.7886435331230284,0.3993610223642173,0.5302226935312832,,
315,0.6031746031746031,0.789308176100629,0.4003189792663477,0.5312169312169313,,
316,0.6044303797468354,0.7899686520376176,0.4012738853503185,0.53220696937698,,
317,0.6056782334384858,0.790625,0.40222575516693165,0.5331928345626976,,
318,0.6037735849056604,0.7912772585669782,0.39937106918238996,0.5308254963427378,,
319,0.6018808777429467,0.7919254658385093,0.3984375,0.5301455301455301,,
320,0.6,0.7894736842105263,0.39781591263650545,0.529045643153527,,
321,0.5981308411214953,0.7870370370370371,0.397196261682243,0.5279503105590062,,
322,0.5993788819875776,0.7876923076923077,0.39813374805598756,0.5289256198347108,,
323,0.6006191950464397,0.7883435582822086,0.39906832298136646,0.5298969072164949,,
